user_id,age,registration_date,email,workout_frequency
90,,2023-10-10,user90@example.com,Flexible
91,19,,user91@example.com,maximal
92,,2023-10-30,user92@example.com,Flexible
93,30,2024-03-25,user93@example.com,maximal
94,40,2024-01-21,user94@example.com,
95,55,2024-02-28,user95@example.com,flexible
96,,2024-03-27,user96@example.com,flexible
97,49,2023-10-26,user97@example.com,MINIMAL
98,59,2024-01-25,user98@example.com,maximal
99,38,2024-04-25,user99@example.com,MINIMAL
100,,2023-11-07,user100@example.com,maximal
101,60,2023-01-08,user101@example.com,regular
102,,2023-01-28,user102@example.com,MINIMAL
103,,,user103@example.com,MINIMAL
104,,2023-11-11,user104@example.com,
105,19,2024-03-31,user105@example.com,MINIMAL
106,25,,user106@example.com,MAXIMAL
107,,2024-01-15,user107@example.com,minimal
108,48,2023-08-31,user108@example.com,minimal
109,32,2023-03-07,user109@example.com,regular
110,25,2024-01-01,user110@example.com,flexible
111,56,,user111@example.com,regular
112,45,2023-09-19,user112@example.com,minimal
113,50,2023-06-08,,regular
114,,2023-03-07,user114@example.com,
115,,2023-01-26,user115@example.com,MINIMAL
116,,2024-03-04,user116@example.com,Flexible
117,37,2023-06-04,user117@example.com,Flexible
118,,2023-11-10,user118@example.com,minimal
119,,,user119@example.com,regular
120,24,2023-12-24,user120@example.com,minimal
121,,2023-08-03,user121@example.com,MAXIMAL
122,,2023-11-07,user122@example.com,
123,,2024-05-31,user123@example.com,maximal
124,,2023-05-22,user124@example.com,minimal
125,,2023-12-26,user125@example.com,flexible
126,26,2024-02-05,user126@example.com,MINIMAL
127,,2023-04-12,user127@example.com,minimal
128,,2024-06-04,user128@example.com,Flexible
129,,2023-08-26,user129@example.com,regular
130,,2023-07-02,user130@example.com,MINIMAL
131,,2023-01-20,user131@example.com,regular
132,,,user132@example.com,
133,,2023-08-09,user133@example.com,regular
134,,2023-10-27,user134@example.com,MINIMAL
135,57,2024-01-07,user135@example.com,minimal
136,,2023-11-06,user136@example.com,MINIMAL
137,59,,user137@example.com,Flexible
138,,2023-11-24,user138@example.com,MAXIMAL
139,44,2024-05-21,user139@example.com,MINIMAL
140,43,2023-01-07,user140@example.com,regular
141,,2023-02-18,user141@example.com,MAXIMAL
142,,2024-01-21,user142@example.com,Flexible
143,46,2023-01-04,user143@example.com,minimal
144,60,2023-01-17,user144@example.com,flexible
145,42,2024-02-06,user145@example.com,MAXIMAL
146,,2023-01-25,user146@example.com,Flexible
147,,2024-06-13,user147@example.com,Flexible
148,50,2024-02-20,user148@example.com,regular
149,21,2023-09-15,user149@example.com,
150,,2023-06-15,user150@example.com,MAXIMAL
151,37,2023-05-16,user151@example.com,Flexible
152,,2023-11-24,user152@example.com,Flexible
153,,2023-08-14,user153@example.com,Flexible
154,,2023-09-12,user154@example.com,regular
155,,2024-06-27,user155@example.com,minimal
156,51,2024-06-06,user156@example.com,maximal
157,,2024-06-10,user157@example.com,flexible
158,48,2024-03-28,user158@example.com,MAXIMAL
159,36,,user159@example.com,minimal
160,,2023-08-22,user160@example.com,MAXIMAL
161,57,2023-10-23,user161@example.com,minimal
162,60,2023-05-31,user162@example.com,
163,21,2024-02-29,user163@example.com,maximal
164,,2024-04-13,user164@example.com,minimal
165,32,2023-05-24,user165@example.com,MAXIMAL
166,56,2023-09-24,user166@example.com,regular
167,20,2023-12-17,user167@example.com,maximal
168,,2023-03-16,user168@example.com,flexible
169,53,2023-08-07,user169@example.com,MINIMAL
170,20,2023-10-25,user170@example.com,regular
171,,2023-10-30,user171@example.com,Flexible
172,18,2024-01-16,user172@example.com,regular
173,,2024-04-14,user173@example.com,flexible
174,,2023-10-10,user174@example.com,MAXIMAL
175,,2023-11-08,user175@example.com,MAXIMAL
176,40,2023-10-08,user176@example.com,minimal
177,,2023-03-10,user177@example.com,flexible
178,38,2023-05-03,user178@example.com,MAXIMAL
179,30,2023-01-26,user179@example.com,MAXIMAL
180,55,2023-05-06,user180@example.com,flexible
181,,2023-01-25,user181@example.com,flexible
182,,2023-05-30,user182@example.com,Flexible
183,52,2023-02-23,user183@example.com,MINIMAL
184,,2023-08-10,user184@example.com,regular
185,,2024-06-01,user185@example.com,maximal
186,27,2023-11-22,user186@example.com,
187,,,user187@example.com,
188,32,2023-10-06,user188@example.com,flexible
189,34,2023-11-29,user189@example.com,minimal
190,52,2023-10-28,user190@example.com,regular
191,,2023-12-17,,flexible
192,,2024-06-27,user192@example.com,minimal
193,49,2024-03-31,user193@example.com,maximal
194,26,2023-09-26,user194@example.com,minimal
195,,2024-05-28,,regular
196,,2023-04-25,user196@example.com,minimal
197,,2023-06-10,user197@example.com,Flexible
198,27,2023-07-05,user198@example.com,regular
199,,2023-04-26,,MINIMAL
200,,2023-12-08,user200@example.com,flexible
201,,2023-07-19,user201@example.com,regular
202,31,2023-11-17,user202@example.com,MAXIMAL
203,29,2023-09-16,user203@example.com,MAXIMAL
204,,2023-11-29,user204@example.com,
205,29,2023-09-13,user205@example.com,
206,,2024-06-23,user206@example.com,flexible
207,35,2023-02-27,user207@example.com,regular
208,,2024-05-20,user208@example.com,minimal
209,,2023-08-14,user209@example.com,regular
210,21,2023-01-07,user210@example.com,minimal
211,,2024-01-08,user211@example.com,flexible
212,25,2024-03-24,user212@example.com,MINIMAL
213,,2023-06-08,user213@example.com,Flexible
214,,2023-03-19,user214@example.com,
215,31,2024-06-25,user215@example.com,maximal
216,,2024-06-02,user216@example.com,maximal
217,,2024-05-16,user217@example.com,flexible
218,,2024-01-15,user218@example.com,
219,,,user219@example.com,MAXIMAL
220,,2023-10-21,user220@example.com,MINIMAL
221,,2023-06-10,user221@example.com,
222,39,2023-01-28,user222@example.com,minimal
223,,2023-11-14,,Flexible
224,35,2023-12-30,user224@example.com,regular
225,,2023-01-16,user225@example.com,maximal
226,35,2023-01-10,user226@example.com,Flexible
227,,2024-05-03,user227@example.com,MAXIMAL
228,54,2023-03-08,user228@example.com,MINIMAL
229,,2023-06-21,user229@example.com,minimal
230,57,2023-09-21,user230@example.com,maximal
231,27,2023-07-25,user231@example.com,maximal
232,41,2023-04-19,user232@example.com,MAXIMAL
233,,2024-01-08,user233@example.com,regular
234,46,2023-12-05,user234@example.com,minimal
235,36,2023-04-06,user235@example.com,maximal
236,,2024-02-26,user236@example.com,flexible
237,,2023-01-15,user237@example.com,minimal
238,47,2023-06-26,user238@example.com,Flexible
239,29,2024-05-07,user239@example.com,MAXIMAL
240,,2024-05-31,user240@example.com,minimal
241,46,2024-02-11,user241@example.com,
242,38,2024-04-19,user242@example.com,Flexible
243,,2024-01-17,user243@example.com,MINIMAL
244,18,2024-01-12,user244@example.com,regular
245,34,2023-11-16,user245@example.com,MINIMAL
246,51,2023-11-11,user246@example.com,Flexible
247,,2023-09-30,user247@example.com,MAXIMAL
248,39,2024-03-22,user248@example.com,maximal
249,19,,user249@example.com,minimal
250,47,2024-03-23,user250@example.com,MAXIMAL
251,56,2023-02-08,user251@example.com,regular
252,,2024-05-20,user252@example.com,minimal
253,,2024-05-15,user253@example.com,regular
254,,2023-03-01,user254@example.com,maximal
255,,2023-01-05,user255@example.com,MINIMAL
256,,2024-03-25,user256@example.com,flexible
257,23,2024-04-08,user257@example.com,Flexible
258,,2023-08-01,user258@example.com,minimal
259,,2023-07-12,user259@example.com,
260,54,2024-06-08,user260@example.com,regular
261,44,,user261@example.com,minimal
262,,2024-01-04,user262@example.com,Flexible
263,,2024-01-13,user263@example.com,regular
264,31,2023-02-09,,regular
265,,,user265@example.com,Flexible
266,,2023-05-13,user266@example.com,MAXIMAL
267,60,,user267@example.com,MAXIMAL
268,25,2024-01-12,user268@example.com,MINIMAL
269,60,2023-12-01,user269@example.com,MAXIMAL
270,,2024-04-16,user270@example.com,
271,25,2023-04-18,user271@example.com,MAXIMAL
272,,2023-08-16,user272@example.com,Flexible
273,54,2024-01-21,user273@example.com,
274,24,2023-07-21,user274@example.com,minimal
275,51,2024-05-19,user275@example.com,
276,,2023-06-18,user276@example.com,regular
277,,2023-12-31,user277@example.com,flexible
278,33,2023-01-10,user278@example.com,Flexible
279,,2023-07-29,user279@example.com,MAXIMAL
280,19,2024-04-13,user280@example.com,minimal
281,19,2023-04-17,user281@example.com,maximal
282,,2023-12-24,user282@example.com,minimal
283,50,2023-03-09,user283@example.com,flexible
284,,2023-12-31,user284@example.com,regular
285,25,2023-02-12,user285@example.com,flexible
286,,2024-04-10,user286@example.com,flexible
287,,2023-07-06,user287@example.com,flexible
288,52,,user288@example.com,maximal
289,,2023-10-02,user289@example.com,Flexible
290,,2023-03-17,user290@example.com,maximal
291,31,2024-02-14,user291@example.com,MINIMAL
292,,,user292@example.com,regular
293,27,2023-10-11,user293@example.com,Flexible
294,22,2024-06-24,user294@example.com,maximal
295,,2024-06-25,user295@example.com,MAXIMAL
296,,2024-04-16,user296@example.com,maximal
297,41,2024-02-05,user297@example.com,maximal
298,,2023-08-08,user298@example.com,regular
299,,2023-01-12,user299@example.com,flexible
300,,2023-07-15,user300@example.com,minimal
301,21,2024-06-29,user301@example.com,MINIMAL
302,32,2024-02-28,user302@example.com,MAXIMAL
303,44,2024-06-19,user303@example.com,MINIMAL
304,34,2023-07-29,,maximal
305,,2023-04-04,user305@example.com,Flexible
306,,2023-04-26,user306@example.com,MAXIMAL
307,45,2023-06-17,,
308,,2024-02-09,user308@example.com,MINIMAL
309,,2023-04-21,user309@example.com,Flexible
310,43,2024-05-18,user310@example.com,
311,45,2024-02-02,user311@example.com,flexible
312,48,2024-04-15,,
313,55,2023-08-21,user313@example.com,minimal
314,47,2023-06-25,user314@example.com,maximal
315,37,2024-03-17,user315@example.com,MINIMAL
316,,2024-06-24,user316@example.com,Flexible
317,,2024-06-10,user317@example.com,Flexible
318,18,2023-10-07,user318@example.com,minimal
319,18,2024-06-25,user319@example.com,MAXIMAL
320,,2024-05-13,user320@example.com,Flexible
321,,2023-06-01,user321@example.com,Flexible
322,28,2024-06-02,user322@example.com,MINIMAL
323,42,2023-04-10,user323@example.com,Flexible
324,,2024-05-16,user324@example.com,maximal
325,,2023-01-24,user325@example.com,Flexible
326,,2024-02-29,user326@example.com,MINIMAL
327,,2024-02-03,user327@example.com,regular
328,,2024-03-12,user328@example.com,
329,46,2023-08-12,user329@example.com,flexible
330,54,2023-12-29,user330@example.com,MINIMAL
331,,,,regular
332,,2024-06-23,user332@example.com,regular
333,41,2023-03-24,user333@example.com,MAXIMAL
334,22,2024-02-29,user334@example.com,maximal
335,,2023-03-22,user335@example.com,Flexible
336,47,2023-06-24,user336@example.com,MINIMAL
337,,2024-02-09,user337@example.com,MINIMAL
338,,2023-02-15,,MINIMAL
339,27,2024-03-21,user339@example.com,
340,,2023-01-01,user340@example.com,flexible
341,,2023-10-17,user341@example.com,MAXIMAL
342,,2024-04-18,user342@example.com,minimal
343,,2023-06-08,user343@example.com,maximal
344,31,2023-03-28,user344@example.com,maximal
345,,2023-10-18,user345@example.com,MAXIMAL
346,,2024-03-25,user346@example.com,
347,23,2024-02-19,user347@example.com,Flexible
348,,2023-09-06,user348@example.com,minimal
349,35,2023-05-03,user349@example.com,flexible
350,,2023-01-29,user350@example.com,flexible
351,,2023-03-18,user351@example.com,
352,,2023-11-17,user352@example.com,
353,59,2023-03-11,user353@example.com,Flexible
354,59,2023-08-05,user354@example.com,
355,,2024-01-23,user355@example.com,flexible
356,27,2023-10-25,user356@example.com,flexible
357,,2024-03-29,user357@example.com,maximal
358,50,2023-07-31,user358@example.com,Flexible
359,33,2024-04-05,user359@example.com,minimal
360,55,,user360@example.com,MINIMAL
361,47,2023-08-04,user361@example.com,maximal
362,,2023-04-10,,MAXIMAL
363,,2023-05-02,user363@example.com,MAXIMAL
364,49,2023-03-11,,MAXIMAL
365,49,2024-02-27,user365@example.com,Flexible
366,,2023-09-20,user366@example.com,maximal
367,,2023-01-04,user367@example.com,regular
368,56,2023-02-15,user368@example.com,maximal
369,,2023-01-23,,Flexible
370,60,2023-04-10,user370@example.com,MAXIMAL
371,,2023-12-02,user371@example.com,MINIMAL
372,,2024-02-08,user372@example.com,flexible
373,45,2024-02-15,user373@example.com,flexible
374,57,2023-01-06,user374@example.com,MINIMAL
375,58,2024-04-01,user375@example.com,maximal
376,26,2023-03-15,user376@example.com,maximal
377,,2023-10-13,user377@example.com,maximal
378,42,2023-04-14,user378@example.com,Flexible
379,,2023-12-05,,Flexible
380,25,2024-06-29,user380@example.com,MINIMAL
381,,2024-05-27,user381@example.com,minimal
382,,2023-08-02,user382@example.com,MINIMAL
383,28,2023-02-15,user383@example.com,maximal
384,38,2023-03-15,user384@example.com,flexible
385,,2023-03-17,user385@example.com,minimal
386,19,2023-11-30,user386@example.com,MAXIMAL
387,25,2023-12-09,user387@example.com,flexible
388,,2023-08-13,user388@example.com,
389,,2024-06-08,user389@example.com,MINIMAL
390,56,,user390@example.com,MAXIMAL
391,24,2023-07-04,user391@example.com,regular
392,28,2023-09-12,user392@example.com,
393,44,2024-01-01,user393@example.com,maximal
394,35,2023-11-27,user394@example.com,regular
395,45,2024-06-28,user395@example.com,
396,,2024-06-09,user396@example.com,flexible
397,,2024-05-31,user397@example.com,
398,46,2023-10-29,user398@example.com,regular
399,38,2023-10-25,user399@example.com,
400,,2024-01-21,user400@example.com,MAXIMAL
401,42,2023-11-02,user401@example.com,maximal
402,53,2023-11-11,user402@example.com,flexible
403,,2024-01-22,user403@example.com,MAXIMAL
404,,2023-06-13,user404@example.com,MAXIMAL
405,,2024-02-19,user405@example.com,MINIMAL
406,47,2023-10-09,user406@example.com,MAXIMAL
407,,2024-05-22,user407@example.com,MAXIMAL
408,56,2023-03-15,user408@example.com,flexible
409,23,2023-12-19,user409@example.com,MAXIMAL
410,42,2024-06-17,user410@example.com,MAXIMAL
411,46,2023-09-12,user411@example.com,maximal
412,35,2023-04-21,user412@example.com,minimal
413,,2023-03-24,user413@example.com,MINIMAL
414,,2024-03-02,user414@example.com,Flexible
415,39,2023-05-22,user415@example.com,minimal
416,54,2023-01-18,user416@example.com,MAXIMAL
417,56,2023-05-02,user417@example.com,MINIMAL
418,,2023-03-29,user418@example.com,flexible
419,,2024-03-31,user419@example.com,maximal
420,,2023-07-23,user420@example.com,flexible
421,,2023-11-25,,flexible
422,,2023-06-22,user422@example.com,MAXIMAL
423,52,2023-04-28,user423@example.com,flexible
424,,2024-04-14,user424@example.com,minimal
425,24,2023-10-21,user425@example.com,MINIMAL
426,60,2023-07-26,user426@example.com,flexible
427,,2023-06-22,user427@example.com,
428,45,2023-04-27,user428@example.com,MINIMAL
429,,2023-06-08,user429@example.com,MAXIMAL
430,,2023-04-02,user430@example.com,MINIMAL
431,,2024-03-02,user431@example.com,maximal
432,41,2023-12-30,user432@example.com,MAXIMAL
433,42,2024-05-15,user433@example.com,minimal
434,51,2023-07-10,user434@example.com,Flexible
435,23,2023-06-12,user435@example.com,minimal
436,26,2023-04-13,user436@example.com,MINIMAL
437,30,2023-08-22,user437@example.com,regular
438,30,2023-02-22,user438@example.com,flexible
439,40,2024-01-04,user439@example.com,
440,36,2023-02-03,user440@example.com,
441,,2024-03-16,user441@example.com,
442,,2023-01-25,user442@example.com,flexible
443,,2024-03-07,user443@example.com,
444,58,,user444@example.com,Flexible
445,,2024-06-17,user445@example.com,Flexible
446,,2024-05-04,user446@example.com,MAXIMAL
447,52,2023-10-21,user447@example.com,
448,36,2023-07-15,user448@example.com,MAXIMAL
449,,2023-03-18,user449@example.com,MAXIMAL
450,45,2024-01-13,user450@example.com,maximal
451,,2024-05-17,user451@example.com,maximal
452,51,2023-12-06,user452@example.com,Flexible
453,,2024-01-07,user453@example.com,MAXIMAL
454,32,2023-03-05,user454@example.com,minimal
455,,2023-02-26,user455@example.com,minimal
456,26,2024-03-04,user456@example.com,MINIMAL
457,,2024-03-18,user457@example.com,regular
458,31,2023-02-25,user458@example.com,MINIMAL
459,51,2023-03-18,user459@example.com,regular
460,30,2023-05-01,,flexible
461,44,2023-01-24,user461@example.com,maximal
462,18,2024-06-01,,Flexible
463,,,user463@example.com,flexible
464,39,2023-05-01,user464@example.com,regular
465,31,2023-05-03,user465@example.com,minimal
466,,2024-04-11,user466@example.com,Flexible
467,42,2024-06-29,user467@example.com,MAXIMAL
468,,2024-06-11,user468@example.com,
469,39,2023-07-13,user469@example.com,Flexible
470,,2023-12-18,user470@example.com,MINIMAL
471,34,2024-03-03,user471@example.com,flexible
472,57,2023-03-15,user472@example.com,MAXIMAL
473,34,2023-01-27,user473@example.com,Flexible
474,52,2024-01-09,user474@example.com,MINIMAL
475,45,2023-04-12,user475@example.com,Flexible
476,30,2024-04-21,user476@example.com,MAXIMAL
477,,2023-09-30,user477@example.com,MINIMAL
478,,2023-10-06,user478@example.com,MAXIMAL
479,27,2024-02-03,user479@example.com,MAXIMAL
480,,2024-04-09,user480@example.com,maximal
481,29,2023-02-28,user481@example.com,
482,,2023-11-15,user482@example.com,maximal
483,,2023-10-29,user483@example.com,minimal
484,,2023-07-17,user484@example.com,minimal
485,56,2024-04-22,user485@example.com,maximal
486,,2023-12-13,user486@example.com,MINIMAL
487,48,2023-08-04,user487@example.com,
488,,2023-05-17,user488@example.com,MINIMAL
489,30,2023-10-16,user489@example.com,regular
490,42,,user490@example.com,Flexible
491,24,2024-01-25,user491@example.com,Flexible
492,53,2023-11-22,user492@example.com,MAXIMAL
493,,2024-02-13,user493@example.com,flexible
494,,2023-02-17,user494@example.com,
495,,2023-08-27,user495@example.com,maximal
496,58,2024-02-21,user496@example.com,
497,41,2023-08-15,user497@example.com,regular
498,24,2023-12-13,user498@example.com,
499,,2023-04-02,user499@example.com,
500,40,2024-01-30,user500@example.com,
